match_type,date,english_name,url,language,display_order,source_file,notes,description_mode,site_label,link_description
exact_date_and_name,17-Jul,St. Alexius,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=071701,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 141,localized_summary,Laudate,
exact_date_and_name,18-Jul,St. Camillus de Lellis,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=071401,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 142,localized_summary,Laudate,
exact_date_and_name,19-Jul,St. Vincent de Paul,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=092701,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 143,localized_summary,Laudate,
exact_date_and_name,20-Jul,St. Jerome Emilian,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=020801,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 144,localized_summary,Laudate,
exact_date_and_name,21-Jul,St. Lawrence of Brindisi,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=072101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 145,localized_summary,Laudate,
exact_date_and_name,22-Jul,St. Mary Magdalen,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=072201,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 147,localized_summary,Laudate,
exact_date_and_name,23-Jul,St. Apollinaris,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=072001,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 148,localized_summary,Laudate,
exact_date_and_name,25-Jul,St. James the Greater,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=072501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 150,localized_summary,Laudate,
exact_date_and_name,26-Jul,St. Anne,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=072601,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 151,localized_summary,Laudate,
exact_date_and_name,27-Jul,St. Pantaleon,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=072701,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 152,localized_summary,Laudate,
exact_date_and_name,28-Jul,"SS. Nazarius & Celsus, St. Victor I, St. Innocent I",https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=072801,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 153,localized_summary,Laudate,聖ナザリオと聖チェルソ
exact_date_and_name,29-Jul,St. Martha,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=072901,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 154,localized_summary,Laudate,
exact_date_and_name,31-Jul,St. Ignatius of Loyola,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=073101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 156,localized_summary,Laudate,
exact_date_and_name,2-Aug,St. Alphonsus Liguori,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=080101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 158,localized_summary,Laudate,
exact_date_and_name,4-Aug,St. Dominic,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=080801,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 159,localized_summary,Laudate,
exact_date_and_name,7-Aug,St. Cajetan,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=080702,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 162,localized_summary,Laudate,
exact_date_and_name,8-Aug,St. John Mary Vianney,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=080401,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 164,localized_summary,Laudate,
exact_date_and_name,10-Aug,St. Lawrence,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=081001,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 166,localized_summary,Laudate,
exact_date_and_name,12-Aug,St. Clare,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=081101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 168,localized_summary,Laudate,
exact_date_and_name,15-Aug,Marymass,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=081501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 171,localized_summary,Laudate,
exact_date_and_name,16-Aug,St. Joachim,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=072601,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 172,localized_summary,Laudate,
exact_date_and_name,16-Aug,St. Roch,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=081601,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 173,localized_summary,Laudate,
exact_date_and_name,17-Aug,St. Hyacinth,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=081701,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 174,localized_summary,Laudate,
exact_date_and_name,19-Aug,St. John Eudes,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=081901,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 176,localized_summary,Laudate,
